shotFrom,distToHole,strokesToHole
S,234,3.91
S,235,3.92
S,236,3.92
S,237,3.93
S,238,3.93
S,239,3.93
S,240,3.94
S,240,3.94
S,241,3.94
S,242,3.95
S,243,3.95
S,244,3.95
S,245,3.96
S,246,3.96
S,247,3.97
S,248,3.97
S,249,3.97
S,250,3.98
S,251,3.98
S,251,3.98
S,252,3.99
S,253,3.99
S,254,3.99
S,255,4
S,256,4
S,257,4
S,258,4
S,259,4.01
S,260,4.01
S,261,4.01
S,262,4.01
S,262,4.01
S,263,4.02
S,264,4.02
S,265,4.02
S,266,4.02
S,267,4.02
S,268,4.03
S,269,4.03
S,270,4.03
S,271,4.03
S,272,4.03
S,272,4.04
S,273,4.04
S,274,4.04
S,275,4.04
S,276,4.05
S,277,4.05
S,278,4.06
S,279,4.06
S,280,4.06
S,281,4.07
S,282,4.07
S,283,4.08
S,283,4.08
S,284,4.08
S,285,4.09
S,286,4.09
S,287,4.1
S,288,4.1
S,289,4.1
S,290,4.11
S,291,4.11
S,292,4.12
S,293,4.12
S,294,4.13
S,294,4.13
S,295,4.14
S,296,4.15
S,297,4.16
S,298,4.16
S,299,4.17
S,300,4.18
S,301,4.18
S,302,4.19
S,303,4.2
S,304,4.2
S,304,4.21
S,305,4.22
S,306,4.23
S,307,4.23
S,308,4.24
S,309,4.25
S,310,4.25
S,311,4.26
S,312,4.27
S,313,4.28
S,314,4.28
S,315,4.29
S,315,4.3
S,316,4.31
S,317,4.31
S,318,4.32
S,319,4.33
S,320,4.34
S,321,4.34
S,322,4.35
S,323,4.36
S,324,4.37
S,325,4.37
S,326,4.38
S,326,4.39
S,327,4.4
S,328,4.4
S,329,4.41
S,330,4.42
S,331,4.42
S,332,4.43
S,333,4.44
S,334,4.45
S,335,4.45
S,336,4.46
S,336,4.47
S,337,4.47
S,338,4.48
S,339,4.49
S,340,4.49
S,341,4.5
S,342,4.51
S,343,4.52
S,344,4.52
S,345,4.53
S,346,4.54
S,347,4.54
S,347,4.55
S,348,4.56
S,349,4.56
S,350,4.57
S,351,4.58
S,352,4.59
S,353,4.59
S,354,4.6
S,355,4.61
S,356,4.61
S,357,4.62
S,358,4.63
S,358,4.63
S,359,4.64
S,360,4.65
S,361,4.66
S,362,4.66
S,363,4.67
S,364,4.68
S,365,4.68
S,366,4.69
S,367,4.69
S,368,4.69
S,369,4.7
S,369,4.7
S,370,4.7
S,371,4.7
S,372,4.7
S,373,4.71
S,374,4.71
S,375,4.71
S,376,4.71
S,377,4.71
S,378,4.72
S,379,4.72
S,379,4.72
S,380,4.72
S,381,4.72
S,382,4.73
S,383,4.73
S,384,4.73
S,385,4.73
S,386,4.74
S,387,4.74
S,388,4.74
S,389,4.74
S,390,4.75
S,390,4.75
S,391,4.75
S,392,4.75
S,393,4.76
S,394,4.76
S,395,4.76
S,396,4.76
S,397,4.77
S,398,4.77
S,399,4.77
S,400,4.77
S,401,4.78
S,401,4.78
S,402,4.78
S,403,4.78
S,404,4.79
S,405,4.79
S,406,4.8
S,407,4.8
S,408,4.81
S,409,4.81
S,410,4.82
S,411,4.82
S,411,4.83
S,412,4.83
S,413,4.83
S,414,4.84
S,415,4.84
S,416,4.85
S,417,4.85
S,418,4.86
S,419,4.86
S,420,4.87
S,421,4.87
S,422,4.88
S,422,4.88
S,423,4.89
S,424,4.89
S,425,4.9
S,426,4.9
S,427,4.91
S,428,4.91
S,429,4.92
S,430,4.93
S,431,4.93
S,432,4.94
S,433,4.94
S,433,4.95
S,434,4.95
S,435,4.96
S,436,4.96
S,437,4.97
S,438,4.97
S,439,4.98
S,440,4.99
S,441,4.99
S,442,5
S,443,5.01
S,443,5.01
S,444,5.02
S,445,5.03
S,446,5.03
S,447,5.04
S,448,5.05
S,449,5.05
S,450,5.06
S,451,5.06
S,452,5.07
S,453,5.08
S,454,5.08
S,454,5.09
S,455,5.1
