shotFrom,distToHole,strokesToHole
F,435,4.38
F,436,4.38
F,437,4.39
F,438,4.39
F,439,4.4
F,440,4.41
F,441,4.41
F,442,4.42
F,443,4.43
F,443,4.43
F,444,4.44
F,445,4.45
F,446,4.45
F,447,4.46
F,448,4.47
F,449,4.47
F,450,4.48
F,451,4.48
F,452,4.49
F,453,4.5
F,454,4.5
F,454,4.51
F,455,4.52
F,456,4.52
F,457,4.53
F,458,4.54
F,459,4.54
F,460,4.55
F,461,4.56
F,462,4.56
F,463,4.57
F,464,4.58
F,465,4.58
F,465,4.59
F,466,4.6
F,467,4.6
F,468,4.61
F,469,4.61
F,470,4.62
F,471,4.63
F,472,4.63
F,473,4.64
F,474,4.65
F,475,4.65
F,475,4.66
F,476,4.67
F,477,4.67
F,478,4.68
F,479,4.68
F,480,4.69
F,481,4.7
F,482,4.7
F,483,4.71
F,484,4.71
F,485,4.72
F,486,4.73
F,486,4.73
F,487,4.74
F,488,4.74
F,489,4.75
F,490,4.76
F,491,4.76
F,492,4.77
F,493,4.77
F,494,4.78
F,495,4.78
F,496,4.79
F,497,4.79
F,497,4.8
F,498,4.8
F,499,4.8
F,500,4.81
F,501,4.81
F,502,4.82
F,503,4.82
F,504,4.82
F,505,4.83
F,506,4.83
F,507,4.84
F,507,4.84
F,508,4.84
F,509,4.85
F,510,4.85
F,511,4.86
F,512,4.86
F,513,4.86
F,514,4.87
F,515,4.87
F,516,4.87
F,517,4.87
F,518,4.88
F,518,4.88
F,519,4.88
F,520,4.88
F,521,4.89
F,522,4.89
F,523,4.89
F,524,4.89
F,525,4.9
F,526,4.9
F,527,4.9
F,528,4.9
F,529,4.91
F,529,4.91
F,530,4.91
F,531,4.91
F,532,4.91
F,533,4.91
F,534,4.92
F,535,4.92
F,536,4.92
F,537,4.92
F,538,4.92
F,539,4.92
F,539,4.93
F,540,4.93
F,541,4.93
F,542,4.93
F,543,4.93
F,544,4.93
F,545,4.93
F,546,4.94
F,547,4.94
F,548,4.94
F,549,4.94
R,5,2.19
R,5,2.22
R,6,2.25
R,7,2.28
R,8,2.31
R,9,2.34
R,10,2.37
R,11,2.39
R,12,2.42
R,13,2.44
R,14,2.47
R,15,2.49
R,16,2.52
R,16,2.54
R,17,2.57
R,18,2.59
R,19,2.6
R,20,2.61
R,21,2.62
R,22,2.63
R,23,2.64
R,24,2.65
R,25,2.66
R,26,2.67
R,27,2.68
R,27,2.69
R,28,2.69
R,29,2.7
R,30,2.71
R,31,2.72
R,32,2.73
R,33,2.74
R,34,2.75
R,35,2.76
R,36,2.77
R,37,2.78
R,37,2.79
R,38,2.79
R,39,2.8
R,40,2.81
R,41,2.81
R,42,2.82
R,43,2.83
R,44,2.83
R,45,2.84
R,46,2.85
R,47,2.85
R,48,2.86
R,48,2.86
R,49,2.87
R,50,2.88
R,51,2.88
R,52,2.89
R,53,2.9
R,54,2.9
R,55,2.91
R,56,2.91
R,57,2.92
R,58,2.92
R,59,2.92
R,59,2.92
R,60,2.93
R,61,2.93
R,62,2.93
R,63,2.93
R,64,2.94
R,65,2.94
R,66,2.94
R,67,2.94
R,68,2.95
R,69,2.95
R,69,2.95
R,70,2.95
R,71,2.96
R,72,2.96
R,73,2.96
R,74,2.96
R,75,2.97
R,76,2.97
R,77,2.97
R,78,2.98
R,79,2.98
R,80,2.98
R,80,2.98
R,81,2.99
R,82,2.99
R,83,2.99
R,84,3
R,85,3
R,86,3
R,87,3.01
R,88,3.01
R,89,3.01
R,90,3.01
R,91,3.02
R,91,3.02
R,92,3.02
R,93,3.03
R,94,3.03
R,95,3.03
R,96,3.04
R,97,3.04
R,98,3.04
R,99,3.04
R,100,3.05
R,101,3.05
R,101,3.05
R,102,3.06
R,103,3.06
R,104,3.06
R,105,3.07
R,106,3.07
R,107,3.07
R,108,3.07
R,109,3.08
R,110,3.08
R,111,3.08
R,112,3.09
